window,model,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
5m,rf,0,0.001,0.095,0.0009532086685917,0.000784973366975,0.784973366975049,0.631578947368421,0.9230769230769232,0.75,48,0.5172413793103449,0.0608519269776876,0.1088929219600726,30,28
5m,rf,0,0.01,0.01,0.008831197959012,0.0080740117746005,0.8074011774600504,0.1504424778761062,0.9807692307692308,0.2608695652173913,51,0.4801444043321299,0.539553752535497,0.5081184336198663,266,288
5m,rf,0,0.05,5e-324,0.0237741456166419,0.0233529576675077,0.4670591533501542,0.0587570621468926,1.0,0.1109925293489861,52,0.3172131147540983,0.7849898580121704,0.4518388791593695,387,833
5m,rf,1,0.001,0.09,0.000981244217668,0.0007569386038687,0.7569386038687973,0.64,0.9230769230769232,0.7559055118110236,48,0.509090909090909,0.0567951318458417,0.1021897810218978,28,27
5m,rf,1,0.01,0.01,0.0084387002719448,0.0078497336697504,0.784973366975049,0.1540785498489426,0.9807692307692308,0.2663185378590078,51,0.4716981132075472,0.5070993914807302,0.4887585532746823,250,280
5m,rf,1,0.05,5e-324,0.0238021811657181,0.0227642276422764,0.4552845528455285,0.0590961761297798,0.9807692307692308,0.1114754098360655,51,0.3130287648054145,0.7505070993914807,0.4417910447761194,370,812
5m,rf,2,0.001,0.105,0.0008971375704393,0.00067283431455,0.6728343145500421,0.6666666666666666,0.9230769230769232,0.7741935483870968,48,0.52,0.0527383367139959,0.0957642725598526,26,24
5m,rf,2,0.01,0.01,0.0083265580756399,0.0084945332211942,0.849453322119428,0.141643059490085,0.9615384615384616,0.2469135802469135,50,0.4500907441016334,0.5030425963488844,0.475095785440613,248,303
5m,rf,2,0.05,5e-324,0.0236900389694132,0.0230445752733389,0.4608915054667787,0.0584192439862542,0.9807692307692308,0.1102702702702702,51,0.3033898305084745,0.7261663286004056,0.4279736999402271,358,822
5m,rf,3,0.001,0.09,0.000981244217668,0.0008410428931875,0.8410428931875525,0.6153846153846154,0.9230769230769232,0.7384615384615385,48,0.4736842105263157,0.0547667342799188,0.0981818181818181,27,30
5m,rf,3,0.01,0.01,0.0084947713700972,0.0083823941687692,0.8382394168769274,0.1432664756446991,0.9615384615384616,0.2493765586034912,50,0.4735915492957746,0.5456389452332657,0.5070688030160226,269,299
5m,rf,3,0.05,5e-324,0.0235778967731083,0.0231847490888702,0.463694981777404,0.0580865603644646,0.9807692307692308,0.1096774193548387,51,0.3142620232172471,0.768762677484787,0.4461447910535609,379,827
5m,rf,4,0.001,0.095,0.0009251731195155,0.0007569386038687,0.7569386038687973,0.64,0.9230769230769232,0.7559055118110236,48,0.5645161290322581,0.0709939148073022,0.1261261261261261,35,27
5m,rf,4,0.01,0.01,0.0088031624099357,0.0088589851415755,0.8858985141575553,0.1389645776566757,0.9807692307692308,0.2434367541766109,51,0.4532871972318339,0.5314401622718052,0.4892623716153128,262,316
5m,rf,4,0.05,5e-324,0.0225966525554403,0.0233249229044014,0.4664984580880291,0.0577576443941109,0.9807692307692308,0.109090909090909,51,0.3202614379084967,0.795131845841785,0.4566103669190448,392,832
