window,method,backbone,alpha,num_seeds,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,violation_ratio_p90,violation_ratio_p95,strict_ok,b3_ok,b5_ok,b10_ok
1m,ours,gin,0.05,5,5,0.04480315446853636,0.01693984937842032,0.0499898017837607,0.0,0.05020489143535254,0.0009340932276616689,1.0040978287070517,0.018681864553232733,0.05322866751133698,0.0007042397971974109,0.9224242424242425,0.009958591954639323,0.1006479850633805,0.001252418118904653,0.24437619200106814,0.012955781477763061,0.4915919282511211,0.03940347733923006,0.32640924555173284,0.020236049813911465,1.021972520442788,1.02404924811333,0.4,1.0,1.0,1.0
1m,ours,sage,0.001,5,5,0.991360318660736,0.000626064591717731,0.0009827372012386,0.0,0.00126457881366926,6.60789886381155e-05,1.2645788136693183,0.06607898863809485,0.594052366296941,0.027671735044895365,0.606060606060606,0.0434930305891131,0.5998867228205965,0.03506470805435243,0.014481947009120899,0.0007555088389494264,0.0005605381165919,0.0,0.0010792175256810603,2.0760006378916587e-06,1.3239138899705178,1.3387476590458178,0.0,1.0,1.0,1.0
1m,ours,sage,0.01,5,5,0.7358753800392152,0.055730925080810866,0.0099942519144833,0.0,0.0098199551278485,0.0002475923366197567,0.9819955127848546,0.02475923366197616,0.21293025096217244,0.00669161577501679,0.8678787878787878,0.01313908084162354,0.34194930932878637,0.00962498158865442,0.36630964869947213,0.05558910283797559,0.17399103139013447,0.03756985557250313,0.2357124889179393,0.0461751121040698,1.0049878548515694,1.0068420759859817,0.8,1.0,1.0,1.0
1m,ours,sage,0.05,5,5,0.18578832745552062,0.02526811857364694,0.0499898017837607,0.0,0.04964491665275996,0.00029393937821350306,0.9928983330552,0.005878787564269941,0.05485850367842184,0.00030807304032563895,0.9418181818181818,0.003319530651546422,0.10367788953864307,0.0005566377787019523,0.2843802303699808,0.011573225703320564,0.5967488789237667,0.03211888299325587,0.38518283010269266,0.01729508411876557,0.998980178376073,1.00031521759285,0.8,1.0,1.0,1.0
5m,base,gat,0.001,5,5,0.999830162525177,0.0002726599461665332,0.000981244217668,0.0,0.00121670871881126,6.751665028757678e-05,1.216708718811326,0.06751665028759354,0.2569565351133532,0.036721556917650035,0.28846153846153844,0.04079462199153157,0.27178624830000975,0.038594348892023816,0.0,0.0,0.0,0.0,0.0,0.0,1.2895991028875806,1.2895991028875806,0.0,1.0,1.0,1.0
5m,base,gat,0.01,5,5,0.9660076737403871,0.020760951760358602,0.0099806554711374,0.0,0.01021586767591808,0.0004592056543121386,1.0215867675918138,0.045920565431216885,0.10047727605884293,0.0072455415442254124,0.7846153846153847,0.08854511102477952,0.17810656751623302,0.013590916074224474,0.2036662825207519,0.03239762728647392,0.19066937119675453,0.04082071358518888,0.1967705570786634,0.036704527948087984,1.0675637790860668,1.0804597701149428,0.4,1.0,1.0,1.0
5m,base,gat,0.05,5,5,0.18322057127952576,0.033810771737683216,0.0499873840029157,0.0,0.05038407625455562,0.00375175943931027,1.0076815250911129,0.07503518878620545,0.026723687354322522,0.0013363882753156494,0.9461538461538463,0.021066252211737132,0.05197373320934166,0.0025027066042616723,0.20273948356413846,0.008109315384258724,0.925760649087221,0.054438956019783234,0.332457254959617,0.011884065746548251,1.0866274179983177,1.106812447434819,0.6,1.0,1.0,1.0
5m,base,gcn,0.001,5,5,0.9999151825904848,9.90299558479722e-05,0.000981244217668,0.0,0.00092514718250628,3.433543233507825e-05,0.9251471825063078,0.034335432335059916,0.39374997331055833,0.039060962591618315,0.41538461538461535,0.06605986168199104,0.40390595183148853,0.051819331789951836,0.028636122753769783,0.019170814925352518,0.0020283975659229,0.0014342936738063698,0.0037879168014932603,0.0026683611759671165,0.9587888982338099,0.9700028034763105,1.0,1.0,1.0,1.0
5m,base,gcn,0.01,5,5,0.9533112764358522,0.010743477112651114,0.0099806554711374,0.0,0.00888141295206052,0.00014486134771811665,0.8881412952060554,0.014486134771812584,0.118068792736622,0.006313400583855303,0.8153846153846155,0.03987777183332254,0.20626706098412514,0.010886246280908372,0.3003599424789568,0.017876386402862706,0.2762677484787018,0.022696309502149053,0.28777071388363795,0.020426632425071804,0.9027193720213065,0.9055228483319316,1.0,1.0,1.0,1.0
5m,base,gcn,0.05,5,5,0.46321992874145507,0.0618002183290083,0.0499873840029157,0.0,0.049015979814970516,0.0014458438149601248,0.9803195962994111,0.028916876299202445,0.02695598629284502,0.0008907275835307348,0.9307692307692308,0.010533126105868542,0.05239364651619808,0.0016919737512097195,0.1858025353227735,0.006975623837077083,0.8089249492900608,0.025912729286282053,0.30217315056790567,0.010701621396076801,1.0109335576114382,1.0154191197084383,0.8,1.0,1.0,1.0
5m,base,gin,0.001,5,5,0.9558975458145144,0.032856004762304256,0.000981244217668,0.0,0.00317353518362764,0.0012572583273943309,3.1735351836276986,1.2572583273943563,0.19867877726170002,0.055019782511202424,0.49615384615384617,0.06141815162565889,0.278893831088841,0.054610568912202485,0.5866324018147956,0.10368865847063619,0.3123732251521298,0.04487757989825069,0.4053745359582333,0.05445959366167212,4.5640594336977856,4.664984580880292,0.0,0.6,1.0,1.0
5m,base,gin,0.01,5,5,0.6551626443862916,0.08539335528110253,0.0099806554711374,0.0,0.01729744883655728,0.0017176869842489896,1.729744883655733,0.17176869842489934,0.06614979535049452,0.0035817295005832854,0.8384615384615385,0.06464513966912162,0.12257015864313803,0.006301773428575075,0.330209675092763,0.03747848665587681,0.6158215010141987,0.07256448771974283,0.42957350703790265,0.04814089822459484,1.901878329128119,1.9601906363891226,0.0,1.0,1.0,1.0
5m,base,gin,0.05,5,5,0.22835237085819243,0.030160699468390416,0.0499873840029157,0.0,0.06268012335295763,0.002740346110526037,1.2536024670591535,0.054806922210521164,0.021232074504484756,0.0016278258319246,0.9307692307692308,0.04826884768465823,0.04151578227730486,0.0031526330297279607,0.1398362195555332,0.01013250284014407,0.737525354969574,0.06447305616536322,0.23505126819881034,0.017291428248977676,1.310569105691057,1.3160639192598822,0.0,1.0,1.0,1.0
5m,base,sage,0.001,5,5,0.9960180163383485,0.0011023072260975225,0.000981244217668,0.0,0.0008410428931875401,6.268763603870051e-05,0.8410428931875525,0.06268763603868206,0.5213071291735085,0.017326480527303085,0.6269230769230769,0.010533126105868542,0.5690472945345509,0.008944344061609868,0.08022619706189682,0.018956896661832076,0.0052738336713995405,0.0011109991024445445,0.00989475536616432,0.002091124261948444,0.8690776562938043,0.8690776562938043,1.0,1.0,1.0,1.0
5m,base,sage,0.01,5,5,0.6720982789993287,0.05661841781249841,0.0099806554711374,0.0,0.009436501261564301,0.00038469987985230853,0.943650126156434,0.03846998798523002,0.12720255570611255,0.004493400851326529,0.9423076923076923,1.2412670766236366e-16,0.22412389003660355,0.006981456680490103,0.2438692716076522,0.018821038263338537,0.2202839756592292,0.019487401419027103,0.2314201101013949,0.018855965463444566,0.9834594897673115,0.9907485281749369,1.0,1.0,1.0,1.0
5m,base,sage,0.05,5,5,0.08061039596796032,0.03111207597024187,0.0499873840029157,0.0,0.04943089430894306,0.0022284903553285405,0.9886178861788618,0.044569807106571005,0.028579371996043122,0.0011471784229367555,0.9961538461538462,0.008600261451922237,0.055562439415367114,0.0021680143391108395,0.19879735404625315,0.00557792121000355,0.8872210953346856,0.04126181465272598,0.32474467415782693,0.009052195083823229,1.0328006728343146,1.0473787496495655,0.8,1.0,1.0,1.0
5m,ours,gat,0.001,5,5,0.9961098432540896,0.0009692826513800587,0.00097563710785274,1.253787870422764e-05,0.00100364451920378,0.0001996185379188867,1.0036445192038128,0.1996185379188999,0.42999022414783283,0.03995697110328497,0.5153846153846153,0.07858775669885597,0.4663728081130252,0.04878491493206632,0.09081196581196575,0.06079100255622878,0.008113590263691661,0.007452808548021853,0.01483373141787818,0.013310811820952785,1.1886739557050743,1.2391365292963274,0.6,1.0,1.0,1.0
