window,method,backbone,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,base,gin,1,0.001,0.9603066444396974,0.0009827372012386,0.0016317145982829,1.6317145982829913,0.432258064516129,0.406060606060606,0.41875,67,0.7215189873417721,0.1278026905829596,0.2171428571428571,228,88
1m,base,gin,1,0.01,0.6161944866180421,0.0099757097031391,0.012923921306855,1.2923921306855055,0.166267942583732,0.8424242424242424,0.2777222777222777,139,0.4277504105090312,0.2920403587443946,0.3471019320453031,521,697
1m,base,gin,1,0.05,0.2222969830036163,0.0499898017837607,0.05583059835716,1.116611967143201,0.0477545857052498,0.9151515151515152,0.0907724676886083,151,0.229923273657289,0.5039237668161435,0.3157709870038637,899,3011
1m,base,gin,2,0.001,0.9659551978111268,0.0009827372012386,0.0012052437373681,1.2052437373681186,0.5038167938931297,0.4,0.4459459459459459,66,0.7678571428571429,0.1205156950672645,0.2083333333333333,215,65
1m,base,gin,2,0.01,0.677616059780121,0.0099942519144833,0.0111067845951308,1.1106784595130816,0.186141304347826,0.8303030303030303,0.3041065482796892,137,0.5261075949367089,0.3727578475336323,0.4363517060367454,665,599
1m,base,gin,2,0.05,0.2288379520177841,0.0499898017837607,0.0556266340323747,1.112532680647494,0.0488268864933417,0.9333333333333332,0.0927990358541729,154,0.2563212692117005,0.5795964125560538,0.3554486077689928,1034,3000
1m,base,gin,3,0.001,0.986231863498688,0.0009827372012386,0.0012237859487122,1.223785948712243,0.4634146341463415,0.3454545454545454,0.3958333333333333,57,0.7667844522968198,0.1216367713004484,0.2099661344944363,217,66
1m,base,gin,3,0.01,0.73616361618042,0.0099942519144833,0.0129053790955109,1.290537909551093,0.1614457831325301,0.8121212121212121,0.2693467336683417,134,0.5561224489795918,0.4887892376681614,0.5202863961813843,872,696
1m,base,gin,3,0.05,0.3303234875202179,0.0499898017837607,0.0559418516252248,1.1188370325044965,0.0479646576207005,0.9212121212121211,0.0911817636472705,152,0.286929803828882,0.6804932735426009,0.4036575228595179,1214,3017
1m,base,gin,4,0.001,0.970710813999176,0.0009827372012386,0.0017058834436594,1.705883443659491,0.4712643678160919,0.4969696969696969,0.4837758112094395,82,0.7597911227154047,0.1631165919282511,0.2685740655283802,291,92
1m,base,gin,4,0.01,0.6530470848083497,0.0099942519144833,0.0137212363946524,1.3721236394652423,0.1581342434584755,0.8424242424242424,0.2662835249042146,139,0.4729344729344729,0.3721973094170404,0.4165621079046424,664,740
1m,base,gin,4,0.05,0.1814056932926178,0.0499898017837607,0.0556637184550629,1.113274369101259,0.0481927710843373,0.9212121212121211,0.0915938535703525,152,0.2515582149090002,0.5655829596412556,0.3482312338222605,1009,3002
1m,base,sage,0,0.001,0.9926302433013916,0.0009827372012386,0.0010754482579592,1.075448257959244,0.5944055944055944,0.5151515151515151,0.551948051948052,85,0.0169491525423728,0.0005605381165919,0.0010851871947911,1,58
